testArmy
CavalryUnit,OliverTwist,20
CavalryUnit,TwistChocolate,50
CavalryUnit,Coke,3
CommanderUnit,Santa,1
InfantryUnit,TheBoogeyMan,5
RangedUnit,Slenderman,10
RangedUnit,j,10
RangedUnit,j,10
RangedUnit,j,10
RangedUnit,j,10
RangedUnit,j,10
CommanderUnit,Geir,29
CommanderUnit,Geir,29
CommanderUnit,Geir,29
RangedUnit,j,10
CavalryUnit,heidi,8
CavalryUnit,halla,66
CavalryUnit,halla,66
CavalryUnit,halla,66
CavalryUnit,halla,66
CavalryUnit,yeee,1
CavalryUnit,yeee,1
CommanderUnit,ikkeYee,5
RangedUnit,j,10
RangedUnit,j,10
RangedUnit,j,10
CavalryUnit,Hello,99
RangedUnit,j,10
RangedUnit,j,10
RangedUnit,j,10
RangedUnit,j,10
RangedUnit,j,10
CavalryUnit,CavalryUnit,4
CavalryUnit,CavalryUnit,8
CavalryUnit,CavalryUnit,42
CavalryUnit,CavalryUnit,33
CavalryUnit,CavalryUnit,2
CavalryUnit,CavalryUnit,29
CavalryUnit,CavalryUnit,16
CavalryUnit,CavalryUnit,24
CavalryUnit,CavalryUnit,32
CavalryUnit,CavalryUnit,1
CavalryUnit,CavalryUnit,8
CavalryUnit,CavalryUnit,27
CavalryUnit,CavalryUnit,49
CavalryUnit,CavalryUnit,10
CavalryUnit,CavalryUnit,22
CavalryUnit,CavalryUnit,21
CavalryUnit,CavalryUnit,4
CavalryUnit,CavalryUnit,1
CavalryUnit,CavalryUnit,36
CavalryUnit,CavalryUnit,22
CavalryUnit,CavalryUnit,42
CavalryUnit,CavalryUnit,2
CavalryUnit,CavalryUnit,44
CavalryUnit,CavalryUnit,44
CavalryUnit,CavalryUnit,32
CavalryUnit,CavalryUnit,40
CavalryUnit,CavalryUnit,20
CavalryUnit,CavalryUnit,28
CavalryUnit,CavalryUnit,38
CavalryUnit,CavalryUnit,3
CavalryUnit,CavalryUnit,36
CavalryUnit,CavalryUnit,29
BlackMage,BlackMage,10
